Rank,Number,Frequency,Percent
1,20,112,11.76
2,34,108,11.34
3,11,107,11.24
4,21,107,11.24
5,35,107,11.24
6,16,106,11.13
7,17,106,11.13
8,18,105,11.03
9,49,105,11.03
10,1,102,10.71
11,8,102,10.71
12,23,102,10.71
13,30,102,10.71
14,13,101,10.61
15,41,101,10.61
16,39,100,10.5
17,7,99,10.4
18,9,98,10.29
19,14,98,10.29
20,15,98,10.29
21,19,97,10.19
22,38,97,10.19
23,46,97,10.19
24,37,96,10.08
25,45,96,10.08
26,12,95,9.98
27,29,95,9.98
28,6,94,9.87
29,22,94,9.87
30,43,94,9.87
31,4,92,9.66
32,32,92,9.66
33,40,92,9.66
34,47,92,9.66
35,2,91,9.56
36,31,91,9.56
37,44,91,9.56
38,3,90,9.45
39,33,90,9.45
40,10,88,9.24
41,26,88,9.24
42,24,87,9.14
43,27,85,8.93
44,42,85,8.93
45,5,83,8.72
46,25,82,8.61
47,28,82,8.61
48,50,82,8.61
49,36,81,8.51
50,48,75,7.88
